site_id,basin,visit_date,date_label,treatment,survey_type,species,stage,capture_animal_state,tad_stage,swab_id,bd_load,year_std,num_days
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,40,RKS10193,211200,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10194,224880,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10195,162192,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10196,239376,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,43,RKS10197,108096,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10198,234432.00000000003,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10199,261696.00000000003,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,44,RKS10200,168528,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10201,168912,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10202,162912,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10203,95856,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10204,184320,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,42,RKS10205,256320,0,2
11525,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,41,RKS10206,250800,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10207,1336224,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,38,RKS10208,27600,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10209,3467376,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10210,0,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,38,RKS10211,24720,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,44,RKS10212,103344,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10213,2487312.0000000005,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10214,6548352,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10215,594096,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,38,RKS10216,432,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,38,RKS10217,25392,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,38,RKS10218,672.0000000000001,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,38,RKS10219,672.0000000000001,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,38,RKS10220,5376.000000000001,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,38,RKS10221,35904,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10222,3363984,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,37,RKS10223,1200,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,40,RKS10224,34992,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10225,838704,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,37,RKS10226,48,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,40,RKS10227,29808,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10228,1352592,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,37,RKS10229,42528,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,38,RKS10230,5712,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10231,997824,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,38,RKS10232,7344,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10233,4786992,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10234,3139728,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10235,2884944,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10236,1529808,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10237,4010208,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10238,516624,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10239,379440,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,subadult,healthy,NA,RKS10240,1356960,0,2
11517,dusy,2010-07-29,1_experiment,control,swab,ramu,tadpole,healthy,44,RKS10241,55872,0,2
